what,kind,bundleId,bundleVersion,description,time
java.specification.version,sysinfo,,,"1.6",1307627406466
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1307627406466
java.version,sysinfo,,,"1.6.0_22",1307627406466
java.vm.info,sysinfo,,,"mixed mode",1307627406466
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1307627406466
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1307627406466
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1307627406466
java.vm.specification.version,sysinfo,,,"1.0",1307627406466
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1307627406466
java.vm.version,sysinfo,,,"20.0-b11",1307627406466
started,bundle,org.eclipse.dltk.core.index.sql,2.0.1.v20100909-1720,"org.eclipse.dltk.core.index.sql",1307627406724
error,log,,,"Unable to get reference to generic content type for dynamic filetype associations!",1307627407120
started,bundle,org.eclipse.dltk.core.index.sql.h2,2.0.1.v20100909-1720,"org.eclipse.dltk.core.index.sql.h2",1307627407580
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1307627409810
error,log,,,"Unable to get reference to generic content type for dynamic filetype associations!",1307627412077
error,log,,,"Unable to get reference to generic content type for dynamic filetype associations!",1307627412081
error,log,,,"Unable to get reference to generic content type for dynamic filetype associations!",1307627412087
error,log,,,"Unable to get reference to generic content type for dynamic filetype associations!",1307627412087
error,log,,,"Unable to get reference to generic content type for dynamic filetype associations!",1307627412087
error,log,,,"Unable to get reference to generic content type for dynamic filetype associations!",1307627412087
error,log,,,"Unable to get reference to generic content type for dynamic filetype associations!",1307627412088
error,log,,,"Unable to get reference to generic content type for dynamic filetype associations!",1307627412088
error,log,,,"Unable to get reference to generic content type for dynamic filetype associations!",1307627412389
error,log,,,"Unable to get reference to generic content type for dynamic filetype associations!",1307627412389
error,log,,,"Unable to get reference to generic content type for dynamic filetype associations!",1307627412390
